admin_level,year,gii,admin_name,area_id,id
province,2010,0.38403582,Nakhon Si Thammarat,89,215
province,2015,0.43288081,Nakhon Si Thammarat,89,216
province,2010,0.4744655,Nam Dinh,175,217
province,2015,0.38523147,Nam Dinh,175,218
province,2010,0.38078391,Nan,90,219
province,2015,0.45038758,Nan,90,220
province,2010,0.38403582,Narathiwat,91,221
province,2015,0.43288081,Narathiwat,91,222
province,2010,0.54664908,Naypyidaw,53,223
province,2015,0.47747312,Naypyidaw,53,224
province,2010,0.47498568,Ninh Binh,177,225
province,2015,0.38122215,Ninh Binh,177,226
province,2010,0.41174963,Nong Bua Lamphu,92,227
province,2015,0.41632895,Nong Bua Lamphu,92,228
province,2010,0.41174963,Nong Khai,93,229
province,2015,0.41632895,Nong Khai,93,230
province,2010,0.39559857,Nonthaburi,94,231
province,2015,0.40987237,Nonthaburi,94,232
province,2005,0.71310866,Oddar,15,233
province,2010,0.64736028,Oddar,15,234
province,2015,0.66598049,Oddar,15,235
province,2015,0.40997861,Oudomxay,34,236
province,2010,0.39559857,Pathum Thani,95,237
province,2015,0.40987237,Pathum Thani,95,238
province,2010,0.38403582,Pattani,96,239
province,2015,0.43288081,Pattani,96,240
province,2010,0.38403582,Phang Nga,97,241
province,2015,0.43288081,Phang Nga,97,242
province,2010,0.38403582,Phattalung,98,243
province,2015,0.43288081,Phattalung,98,244
province,2010,0.38078391,Phayao,99,245
province,2015,0.45038758,Phayao,99,246
province,2010,0.38078391,Phetchabun,100,247
province,2015,0.45038758,Phetchabun,100,248
province,2010,0.39559857,Phetchaburi,101,249
province,2015,0.40987237,Phetchaburi,101,250
province,2010,0.38078391,Phichit,102,251
province,2015,0.45038758,Phichit,102,252
province,2010,0.38078391,Phitsanulok,103,253
province,2015,0.45038758,Phitsanulok,103,254
province,2005,0.66732249,Phnom Penh,16,255
province,2010,0.5278385,Phnom Penh,16,256
province,2015,0.59082437,Phnom Penh,16,257
province,2015,0.4196767,Phongsaly,35,258
province,2010,0.38078391,Phrae,105,259
province,2015,0.45038758,Phrae,105,260
province,2010,0.38403582,Phuket,106,261
province,2015,0.43288081,Phuket,106,262
province,2010,0.39559857,Prachin Buri,107,263
province,2015,0.40987237,Prachin Buri,107,264
province,2010,0.39559857,Prachuap Khiri Khan,108,265
province,2015,0.40987237,Prachuap Khiri Khan,108,266
province,2005,0.63276349,Prey Veng,19,267
province,2010,0.60625212,Prey Veng,19,268
province,2015,0.60631559,Prey Veng,19,269
province,2005,0.59957413,Pursat,17,270
province,2010,0.66155418,Pursat,17,271
province,2015,0.64961839,Pursat,17,272
province,2010,0.54664908,Rakhine,54,273
province,2015,0.47747312,Rakhine,54,274
province,2010,0.38403582,Ranong,109,275
province,2015,0.43288081,Ranong,109,276
province,2010,0.39559857,Ratchaburi,110,277
province,2015,0.40987237,Ratchaburi,110,278
province,2010,0.39559857,Rayong,111,279
province,2015,0.40987237,Rayong,111,280
province,2010,0.41174963,Roi Et,112,281
province,2015,0.41632895,Roi Et,112,282
province,2010,0.39559857,Sa Kaeow,113,283
province,2015,0.40987237,Sa Kaeow,113,284
province,2010,0.54664908,Sagaing,55,285
province,2015,0.47747312,Sagaing,55,286
province,2010,0.41174963,Sakon Nakhon,114,287
province,2015,0.41632895,Sakon Nakhon,114,288
province,2010,0.39559857,Samut Prakan,115,289
province,2015,0.40987237,Samut Prakan,115,290
province,2010,0.39559857,Samut Sakhon,116,291
province,2015,0.40987237,Samut Sakhon,116,292
province,2010,0.39559857,Samut Songkhram,117,293
province,2015,0.40987237,Samut Songkhram,117,294
province,2010,0.39559857,Saraburi,118,295
province,2015,0.40987237,Saraburi,118,296
province,2015,0.36124632,Saravan,36,297
province,2010,0.38403582,Satun,119,298
province,2015,0.43288081,Satun,119,299
province,2015,0.37191674,Savannakhet,37,300
province,2015,0.38529407,Sekong,40,301
province,2010,0.54664908,Shan,56,302
province,2015,0.47747312,Shan,56,303
province,2005,0.64096985,Siem Reap,21,304
province,2010,0.67138246,Siem Reap,21,305
province,2015,0.63117887,Siem Reap,21,306
province,2010,0.39559857,Singburi,121,307
province,2015,0.40987237,Singburi,121,308
province,2010,0.41174963,Sisaket,120,309
province,2015,0.41632895,Sisaket,120,310
province,2010,0.48406318,Soc Trang,186,311
province,2015,0.42607822,Soc Trang,186,312
province,2010,0.38403582,Songkhla,122,313
province,2015,0.43288081,Songkhla,122,314
province,2010,0.38078391,Sukothai,123,315
province,2015,0.45038758,Sukothai,123,316
province,2010,0.39559857,Suphanburi,124,317
province,2015,0.40987237,Suphanburi,124,318
province,2010,0.38403582,Surat Thani,125,319
province,2015,0.43288081,Surat Thani,125,320
province,2010,0.41174963,Surin,126,321
province,2015,0.41632895,Surin,126,322
province,2005,0.5913328,Svay Rieng,23,323
province,2010,0.68737587,Svay Rieng,23,324
province,2015,0.66866159,Svay Rieng,23,325
province,2010,0.38078391,Tak,127,326
province,2015,0.45038758,Tak,127,327
province,2005,0.67139136,Takeo,24,328
province,2010,0.64977118,Takeo,24,329
province,2015,0.60797719,Takeo,24,330
province,2010,0.54664908,Tanintharyi,57,331
province,2015,0.47747312,Tanintharyi,57,332
province,2010,0.41264633,Tay Ninh,188,333
province,2015,0.34217567,Tay Ninh,188,334
province,2010,0.47916272,Thai Binh,189,335
province,2015,0.38449189,Thai Binh,189,336
province,2010,0.47491881,Tien Giang,193,337
province,2015,0.42200284,Tien Giang,193,338
province,2010,0.48640332,Tra Vinh,194,339
province,2015,0.42165512,Tra Vinh,194,340
province,2010,0.38403582,Trang,128,341
province,2015,0.43288081,Trang,128,342
province,2010,0.39559857,Trat,129,343
province,2015,0.40987237,Trat,129,344
province,2010,0.41174963,Ubon Ratchathani,130,345
province,2015,0.41632895,Ubon Ratchathani,130,346
province,2010,0.41174963,Udon Thani,131,347
province,2015,0.41632895,Udon Thani,131,348
province,2010,0.38078391,Uthaithani,132,349
province,2015,0.45038758,Uthaithani,132,350
province,2010,0.38078391,Uttaradit,133,351
province,2015,0.45038758,Uttaradit,133,352
province,2015,0.38609563,Vientiane,39,353
province,2015,0.32580252,Vientiane [prefecture],38,354
province,2010,0.47918503,Vinh Long,196,355
province,2015,0.42266851,Vinh Long,196,356
province,2010,0.47641819,Vinh Phuc,197,357
province,2015,0.3857242,Vinh Phuc,197,358
province,2015,0.40891515,Xaignabouri,41,359
province,2015,0.42800559,Xiangkhoang,43,360
province,2010,0.38403582,Yala,134,361
province,2015,0.43288081,Yala,134,362
province,2010,0.54664908,Yangon,58,363
province,2015,0.47747312,Yangon,58,364
province,2010,0.41174963,Yasothon,135,365
province,2015,0.41632895,Yasothon,135,366
